company,version,date
Elaf Group,B,2026-07-12
Webedia Arabia,B,2026-07-12
Dar Al Arkan,B,2026-07-12
The Social Clinic,B,2026-07-12
Robert Walters Middle East,B,2026-07-12
Charterhouse Middle East,B,2026-07-12
Marc Ellis,B,2026-07-12
Kershaw Leonard,B,2026-07-12
Prezlab,A,2026-07-15
Fullstop Advertising,A,2026-07-15
Brand Lounge,A,2026-07-15
Bassmat Digital Agency,A,2026-07-15
CreativeBlend,A,2026-07-15
PENCIL,A,2026-07-15
Global Digital Creative (GDC),A,2026-07-15
Digital Wasfa,A,2026-07-15
Red Impact (Redimpact Arabia),A,2026-07-15
MAZ NEXA,A,2026-07-15
Elaf Group,C,2026-07-19
Webedia Arabia,C,2026-07-19
Dar Al Arkan,C,2026-07-19
The Social Clinic,C,2026-07-19
Robert Walters Middle East,C,2026-07-19
Charterhouse Middle East,C,2026-07-19
Marc Ellis,C,2026-07-19
Kershaw Leonard,C,2026-07-19
SEDCO Holding (SEDCO Development),A,2026-07-19
Jabal Omar Development Company,A,2026-07-19
Relia (Al Quraishi Marketing),A,2026-07-20
Blink Experience,A,2026-07-20
Entourage Marketing & Events,A,2026-07-20
Focal Point (FP Group),A,2026-07-20
Benchmark,A,2026-07-20
Halwani Bros,A,2026-07-20
Etihad Golden Falcons,A,2026-07-20
eDirect,A,2026-07-20
Rafal Advertising,A,2026-07-20
Cross Arabia,A,2026-07-20
Prezlab,B,2026-07-21
Fullstop Advertising,B,2026-07-21
Brand Lounge,B,2026-07-21
Bassmat Digital Agency,B,2026-07-21
CreativeBlend,B,2026-07-21
PENCIL,B,2026-07-21
Global Digital Creative (GDC),B,2026-07-21
Digital Wasfa,B,2026-07-21
Red Impact (Redimpact Arabia),B,2026-07-21
MAZ NEXA,B,2026-07-21
