portal,job_title,job_id,job_url,submitted_at,status,application_ref,cv_used,notes
SmartRecruiters_Accor,Digital Marketing Manager,jid-92547,https://careers.accor.com/global/en/job/digital-marketing-manager-in-novotel-madinah-madinah-saudi-arabia-jid-92547,2026-05-30T19:23:00Z,FORM_OPENED_FIELDS_FILLED_CV_UPLOAD_BLOCKED,ref_smartrecruiters_744000121884117,CV-03-Hospitality.pdf,Easy Apply form ouvert et champs persona remplis via JS shadow DOM. CV upload requis (asterisque rouge) bloque par sandbox file_upload tool (whitelist user-attached only) + mixed-content (HTTPS->HTTP localhost). Necessite soumission manuelle par Nuredin.
SmartRecruiters_Accor,Marketing & Communications Manager,jid-69051,https://careers.accor.com/global/en/job/marketing-and-communications-manager-in-novotel-madinah-madinah-saudi-arabia-jid-69051,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-03-Hospitality.pdf,Meme blocker SmartRecruiters CV requis - meme architecture portail.
SmartRecruiters_Accor,Director of Sales & Marketing (Holy Cities),jid-58504,https://careers.accor.com/global/en/job/director-of-sales-and-marketing-with-holy-cities-experience-in-novotel-novotel-madinah-madinah-saudi-arabia-jid-58504,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-03-Hospitality.pdf,Idem - Easy Apply SmartRecruiters bloque CV upload.
SmartRecruiters_Accor,Digital Marketing & Social Media Manager,jid-40816,https://careers.accor.com/global/en/job/digital-marketing-and-social-media-manager-in-movenpick-resort-al-marjan-island-ras-al-khaimah-u-jid-40816,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-03-Hospitality.pdf,Idem - Movenpick UAE.
SmartRecruiters_Accor,Digital Marketing Manager,jid-74834,https://careers.accor.com/global/en/job/digital-marketing-manager-in-moevenpick-hotel-waad-al-shamal-turaif-saudi-arabi-jid-74834,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-03-Hospitality.pdf,Idem - Movenpick Turaif KSA.
Workday_Hilton,Sales Director,HOT0B6AI,https://jobs.hilton.com/emea/en/job/HOT0B6AI/Sales-Director,,BLOCKED_WORKDAY_ACCOUNT_REQUIRED,,CV-03-Hospitality.pdf,Workday Hilton necessite compte + CV upload + assessment souvent. Account creation flow non scriptable headless (captcha + email verify).
Workday_Hilton,Marketing Executive,HOT0BPPL,https://jobs.hilton.com/us/en/job/HOT0BPPL/Marketing-Executive,,BLOCKED_WORKDAY_ACCOUNT_REQUIRED,,CV-03-Hospitality.pdf,Idem Workday Hilton.
Workday_Hilton,Marketing Coordinator,HOT0CJXB,https://jobs.hilton.com/apac/zh/job/HOT0CJXB/Marketing-Coordinator,,BLOCKED_WORKDAY_ACCOUNT_REQUIRED,,CV-03-Hospitality.pdf,Idem Workday Hilton.
Marriott_TalentLink,Cluster F&B Marketing Manager,A5822EFC0EDCB4F5EEC9DADEE5395775,https://careers.marriott.com/cluster-f-b-marketing-manager/job/A5822EFC0EDCB4F5EEC9DADEE5395775,,BLOCKED_MARRIOTT_PORTAL_404,,CV-03-Hospitality.pdf,careers.marriott.com a renvoye 404 sur la recherche - URL job specifique a verifier manuellement.
PublicisGroupe_SmartRecruiters,Business Director - Communications Consultancy,46231,https://careers.publicisgroupe.com/jobs/46231?lang=en-us,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-08-Generic.pdf,Publicis utilise SmartRecruiters - meme blocker CV upload via sandbox.
PublicisGroupe_SmartRecruiters,Business Director - Content,111082,https://careers.publicisgroupe.com/jobs/111082?lang=en-us,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-08-Generic.pdf,Idem.
PublicisGroupe_SmartRecruiters,Manager - Content Delivery,132628,https://careers.publicisgroupe.com/jobs/132628,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-08-Generic.pdf,Idem.
PublicisGroupe_SmartRecruiters,Associate Business Director - Gaming Strategy,46795,https://careers.publicisgroupe.com/jobs/46795?lang=en-us,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-08-Generic.pdf,Idem Gaming.
PublicisGroupe_SmartRecruiters,Future Opportunities - Riyadh Talent Network,115794,https://careers.publicisgroupe.com/jobs/115794?lang=en-us,,BLOCKED_FILE_UPLOAD_SANDBOX,,CV-08-Generic.pdf,Talent pool - meme blocker.
